package_name,country_code,total_downloads
idna,NL,1313864
asyncpg,US,1312204
pydantic-core,IE,1310162
pip,IE,1309292
pydantic,DE,1309163
litellm,US,1304585
scikit-image,US,1303924
pycountry,US,1295659
jupyter-server-terminals,US,1294448
userpath,US,1293284
jmespath,IE,1292392
grpcio-status,IE,1290181
msal,NL,1288650
tensorboard,US,1287215
azure-storage-file-datalake,US,1284842
tblib,US,1279385
pbr,US,1277881
jupyter-lsp,US,1275874
gspread,US,1260164
click,DE,1259624
pyee,US,1259155
setuptools,NL,1247663
markupsafe,DE,1245387
pytz,DE,1243851
pip-tools,US,1242899
retrying,US,1242197
google-cloud-bigtable,US,1236576
jmespath,JP,1235213
attrs,DE,1232535
libcst,US,1225242
virtualenv,IE,1224494
sqlalchemy-bigquery,US,1217467
databricks-sqlalchemy,US,1216976
semgrep,US,1216241
jinja2,IE,1212593
google-cloud-audit-log,US,1206484
graphql-relay,US,1191184
statsmodels,US,1190948
readme-renderer,US,1190463
pandas,IE,1190192
pytest-rerunfailures,US,1189897
fastavro,US,1185942
pydantic-core,DE,1184294
pandas,DE,1183744
graphviz,US,1182822
attrs,IE,1182345
ijson,US,1182145
graphene,US,1181679
moto,US,1177591
six,SG,1175857
yamllint,US,1171406
tableauserverclient,US,1164808
jmespath,DE,1162730
certifi,FR,1159798
ninja,US,1156256
alabaster,US,1155422
urllib3,FR,1154754
colorama,IE,1154429
db-dtypes,US,1154043
rsa,IE,1153393
simple-salesforce,US,1151472
jinja2,DE,1150366
azure-core,NL,1145670
google-cloud-firestore,US,1143972
pytest-timeout,US,1143961
zope-event,US,1141759
playwright,US,1139837
annotated-types,IE,1139503
patsy,US,1133873
flask-appbuilder,US,1132246
pywin32,US,1130879
opentelemetry-instrumentation-asgi,US,1129859
sphinxcontrib-serializinghtml,US,1129756
adal,US,1127659
markupsafe,IE,1126409
aiobotocore,IE,1125591
ddtrace,US,1125432
wandb,US,1121828
ray,US,1120826
charset-normalizer,FR,1119900
pywavelets,US,1117055
imagesize,US,1117015
polars,US,1116314
duckdb,US,1115832
grpcio-status,DE,1115538
platformdirs,IE,1114396
aws-lambda-powertools,US,1113099
mypy-boto3-s3,US,1108081
packaging,SG,1107356
setuptools,SG,1106085
hypothesis,US,1103471
python-http-client,US,1103086
torchvision,US,1097383
packaging,NL,1096552
bracex,US,1095825
entrypoints,US,1093346
botocore,SG,1091341
dacite,US,1085763
pyyaml,NL,1084841
bytecode,US,1084486
requests,FR,1084260
platformdirs,DE,1083526
twine,US,1081510
azure-cosmos,US,1080277
python-telegram-bot,US,1079218
mashumaro,US,1077762
prettytable,US,1074570
h11,DE,1070547
tensorflow,US,1069700
google-cloud-run,US,1067108
mlflow,US,1066231
pydantic,NL,1064176
pypdf,US,1062219
dateparser,US,1061862
opentelemetry-instrumentation-fastapi,US,1061471
flask-cors,US,1061228
hvac,US,1060288
idna,FR,1058655
aiosqlite,US,1058525
types-urllib3,US,1058289
mlflow-skinny,US,1056766
annotated-types,DE,1054312
mdit-py-plugins,US,1051691
sphinxcontrib-htmlhelp,US,1050470
pyasn1,IE,1049032
sphinxcontrib-applehelp,US,1047183
sphinxcontrib-qthelp,US,1046140
sphinxcontrib-devhelp,US,1045768
cryptography,NL,1044926
types-setuptools,US,1044634
pytz,IE,1042691
semantic-version,US,1040926
orderly-set,US,1037349
oscrypto,US,1037023
click,SG,1036138
google-cloud-bigquery-storage,US,1032717
envier,US,1028114
httpx,DE,1027840
sqlglot,US,1025247
urllib3,GB,1024795
grpcio-status,SG,1022747
pytimeparse,US,1022179
sphinxcontrib-jsmath,US,1019768
validators,US,1017069
google-cloud-bigquery-datatransfer,US,1017018
psycopg-binary,US,1016221
aiobotocore,JP,1016221
google-cloud-texttospeech,US,1016088
click,IE,1008184
tzdata,DE,1002853
sshtunnel,US,1001487
cssselect2,US,1000482
openapi-spec-validator,US,999568
nvidia-cufile-cu12,US,998828
urllib3,IN,998384
sniffio,DE,995918
resolvelib,US,995467
jsonschema,IE,994968
pluggy,DE,994682
docker-pycreds,US,993648
google-cloud-orchestration-airflow,US,993339
bashlex,US,992931
azure-datalake-store,US,992754
pydeequ,US,990292
google-cloud-dataproc-metastore,US,990234
requests,GB,989468
anyio,SG,985554
dask,US,985454
jira,US,984853
unidecode,US,983915
hyperlink,US,981910
azure-identity,NL,981690
google-cloud-automl,US,980200
wcmatch,US,977184
py-cpuinfo,US,975029
anyio,DE,974389
lockfile,US,973766
mergedeep,US,973346
imbalanced-learn,US,972569
gcloud-aio-storage,US,972197
onnxruntime,US,969003
gast,US,967676
rfc3987-syntax,US,966131
python-jose,US,965452
azure-mgmt-resource,US,965134
h11,SG,963975
google-cloud-dataflow-client,US,963595
streamlit,US,959762
pydantic,SG,956256
pip,DE,952097
six,NL,950997
cron-descriptor,US,949245
msal-extensions,NL,944738
requests-mock,US,944643
sniffio,SG,943098
protobuf,IE,942451
flit-core,US,941782
requests,IN,941225
pypdf2,US,939724
limits,US,938144
pygments,DE,936432
elastic-transport,US,936318
fsspec,IE,936046
google-api-core,IE,935397
mmh3,US,932125
ml-dtypes,US,931592
rsa,DE,931466
azure-mgmt-storage,US,931277
colorama,DE,930900
pymssql,US,930554
pytest-runner,US,928822
charset-normalizer,GB,928463
flask-sqlalchemy,US,927859
certifi,GB,927747
numpy,NL,923490
click-option-group,US,922927
s3fs,IE,921186
jsonschema,SG,919943
sqlalchemy-utils,US,918319
tomli-w,US,917337
pandas-gbq,US,916314
filelock,DE,912921
cffi,NL,912282
pycparser,NL,910670
agate,US,910424
attrs,SG,910070
linkify-it-py,US,908986
idna,GB,904251
boto3,AU,903954
certifi,JP,901267
great-expectations,US,901199
sentence-transformers,US,900392
pygments,SG,899960
typing-extensions,IN,899806
apache-airflow-providers-fab,US,898688
setuptools,FR,897757
opentelemetry-instrumentation-urllib3,US,897573
diskcache,US,897514
setuptools,GB,891867
pyyaml,SG,891646
openapi-schema-validator,US,887597
id,US,887306
python-dateutil,NL,885368
pybind11,US,884148
uc-micro-py,US,882030
weaviate-client,US,881869
charset-normalizer,IN,881414
argparse,US,881239
pydeck,US,880222
cramjam,US,879816
soupsieve,SG,875303
typing-extensions,GB,873900
beautifulsoup4,SG,872858
python-magic,US,872540
certifi,IN,870853
opt-einsum,US,869585
tensorboard-data-server,US,868936
flask-login,US,867786
tldextract,US,865441
httpx,SG,864750
djangorestframework,US,863489
holidays,US,863267
pip,NL,861626
opencv-python-headless,US,858347
statsd,US,857021
msgspec,US,856803
protobuf,DE,852375
parameterized,US,850690
impyla,US,848939
httpcore,DE,847614
kafka-python,US,846818
parsedatetime,US,846673
google-ads,US,843012
pyasn1,DE,839852
pluggy,IE,839816
pickleshare,US,837417
packaging,GB,836430
httpcore,SG,833269
pyiceberg,US,832405
isodate,NL,832036
s3transfer,BR,831847
rich-click,US,827131
pytest-metadata,US,826770
pathable,US,821777
astronomer-cosmos,AU,820863
phonenumbers,US,820548
cached-property,US,819985
markdownify,US,818462
filelock,IE,817331
idna,IN,817308
pytest,DE,817115
backcall,US,816140
numpy,IN,815793
bs4,US,815349
jsonpickle,US,814927
rpds-py,SG,813170
importlib-metadata,IE,812616
jsonschema-specifications,SG,812408
typing-extensions,FR,811460
boto3,FR,810889
pymilvus,US,810010
llama-parse,US,808812
idna,JP,808398
boltons,US,807942
jpype1,US,805805
importlib-metadata,DE,804678
jinja2,NL,803564
typing-inspection,DE,803419
swe-rex,US,802186
cachetools,IE,801099
zipp,DE,798984
msrestazure,US,795613
pydantic-core,SG,793588
cachetools,DE,793420
iniconfig,DE,792481
pinotdb,US,792341
pydata-google-auth,US,790216
time-machine,US,789211
unstructured-client,US,788914
pyright,US,788676
opencensus,US,787767
pygments,IE,787721
pyjwt,IE,787049
universal-pathlib,US,786037
pytest,IE,785681
jsonschema,DE,784467
aioboto3,US,782011
ua-parser,US,780745
stevedore,US,780421
pyarrow,IE,778843
python-dotenv,DE,776401
python-dateutil,SG,776278
pyroaring,US,773887
opencensus-context,US,773781
pyproject-api,US,773046
pydantic,AU,772052
boto3,GB,772033
accelerate,US,770929
pandas,NL,769853
requests-toolbelt,DE,769517
watchtower,US,768216
leather,US,765954
keyrings-google-artifactregistry-auth,US,765927
markupsafe,NL,764684
requests,JP,763621
stripe,US,763066
fastapi-cloud-cli,US,762594
cssselect,US,761824
wheel,DE,761638
datadog-api-client,US,761063
charset-normalizer,JP,760988
azure-batch,US,759973
dbt-extractor,US,759460
wheel,IE,757678
keras,US,754611
jsonschema-path,US,754122
tzdata,IE,754040
python-dateutil,IN,753379
google-auth,IE,751989
iniconfig,IE,751873
levenshtein,US,751051
poetry-core,NL,750861
annotated-types,SG,750695
google-cloud-spanner,US,750653
urllib3,BR,749180
numpy,SG,748985
astunparse,US,748932
pymupdf,US,748818
rpds-py,IE,748438
awscli,IN,748217
fasteners,US,747839
flask-wtf,US,747085
emoji,US,744988
pydantic-core,NL,743396
opentelemetry-distro,US,743265
cmake,US,742773
virtualenv,DE,742600
passlib,US,740923
msal,IE,737332
attrs,NL,736889
opentelemetry-instrumentation-wsgi,US,736650
parse,US,734641
wtforms,US,733718
llama-cloud-services,US,733397
hydra-core,US,732218
zipp,IE,731743
posthog,US,730829
dbt-semantic-interfaces,US,730041
cffi,SG,729951
texttable,US,729287
mysqlclient,US,728916
openpyxl,IE,728827
jsonschema-specifications,IE,728581
